var,label,radius,r,n
green_n,緑地件数,200,0.4496,22
green_n,緑地件数,100,0.4399,22
bus_avg,バス平均便数,200,0.3864,22
H8,業種多様性H(8分類),500,0.3056,22
bar_n,バー・居酒屋,100,0.3041,22
bus_avg,バス平均便数,300,0.2917,22
bar_n,バー・居酒屋,300,0.2513,22
park_n,駐車場件数(OSM),500,0.2091,22
park_den,駐車場密度,500,0.2091,22
bar_n,バー・居酒屋,200,0.2066,22
bus_avg,バス平均便数,500,0.1956,22
food_n,飲食店数,100,0.1839,22
H8,業種多様性H(8分類),300,0.1787,22
office_den,オフィス密度,200,0.1735,22
office_n,オフィス数,200,0.1735,22
green_n,緑地件数,300,0.1690,22
fnb_den,飲食密度(/km²),100,0.1676,22
fnb_n,飲食合計,100,0.1676,22
green_n,緑地件数,500,0.1277,22
office_n,オフィス数,500,0.1257,22
office_den,オフィス密度,500,0.1257,22
green_area,緑地面積,100,0.1134,22
green_ratio,緑地面積比率,100,0.1134,22
office_den,オフィス密度,300,0.1089,22
office_n,オフィス数,300,0.1089,22
bar_n,バー・居酒屋,500,0.0902,22
H8,業種多様性H(8分類),100,0.0900,22
office_n,オフィス数,100,0.0897,22
office_den,オフィス密度,100,0.0897,22
sc_n,大規模SC,100,0.0647,22
bus_trip_n,バス総便数,200,0.0630,22
bus_den,バス便数密度,200,0.0630,22
bus_trip_n,バス総便数,500,0.0537,22
bus_den,バス便数密度,500,0.0537,22
bus_stop_n,バス停数,500,0.0472,22
bus_avg,バス平均便数,100,0.0459,22
H8,業種多様性H(8分類),200,0.0401,22
sup_n,スーパー,300,0.0273,22
sup_n,スーパー,200,0.0134,22
food_n,飲食店数,200,0.0093,22
fnb_n,飲食合計,300,0.0089,22
fnb_den,飲食密度(/km²),300,0.0089,22
food_n,飲食店数,300,0.0077,22
fnb_n,飲食合計,200,0.0020,22
fnb_den,飲食密度(/km²),200,0.0020,22
sup_n,スーパー,100,0.0013,22
sc_n,大規模SC,500,-0.0030,22
park_n,駐車場件数(OSM),300,-0.0089,22
park_den,駐車場密度,300,-0.0089,22
bus_stop_n,バス停数,200,-0.0182,22
food_n,飲食店数,500,-0.0439,22
fnb_den,飲食密度(/km²),500,-0.0542,22
fnb_n,飲食合計,500,-0.0542,22
shop_n,全店舗数,100,-0.0603,22
shop_den,全店舗密度,100,-0.0603,22
sup_n,スーパー,500,-0.0816,22
sc_n,大規模SC,200,-0.1024,22
green_area,緑地面積,200,-0.1179,22
green_ratio,緑地面積比率,200,-0.1179,22
shop_den,全店舗密度,200,-0.1251,22
shop_n,全店舗数,200,-0.1251,22
park_n,駐車場件数(OSM),100,-0.1622,22
park_den,駐車場密度,100,-0.1622,22
shop_n,全店舗数,300,-0.1895,22
shop_den,全店舗密度,300,-0.1895,22
sc_n,大規模SC,300,-0.1936,22
cafe_n,カフェ数,200,-0.2094,22
bus_den,バス便数密度,300,-0.2102,22
bus_trip_n,バス総便数,300,-0.2102,22
bus_trip_n,バス総便数,100,-0.2316,22
bus_den,バス便数密度,100,-0.2316,22
bus_stop_n,バス停数,100,-0.2324,22
shop_n,全店舗数,500,-0.2441,22
shop_den,全店舗密度,500,-0.2441,22
bus_stop_n,バス停数,300,-0.2496,22
green_ratio,緑地面積比率,300,-0.2597,22
green_area,緑地面積,300,-0.2597,22
cafe_n,カフェ数,300,-0.2767,22
park_n,駐車場件数(OSM),200,-0.2827,22
park_den,駐車場密度,200,-0.2827,22
green_area,緑地面積,500,-0.3170,22
green_ratio,緑地面積比率,500,-0.3170,22
cafe_n,カフェ数,500,-0.3426,22
cafe_n,カフェ数,100,-0.3876,22
park_area,駐車場面積(m²),100,NA,22
park_area,駐車場面積(m²),200,NA,22
park_area,駐車場面積(m²),300,NA,22
park_area,駐車場面積(m²),500,NA,22
park_area_ratio,駐車場面積比率,100,NA,22
park_area_ratio,駐車場面積比率,200,NA,22
park_area_ratio,駐車場面積比率,300,NA,22
park_area_ratio,駐車場面積比率,500,NA,22
